"Country"	"Year"	"Sample_number"	"N_before_subsampling"	"N_after_subsampling"	"D"	"Pval.normal"	"Pval.beta"	"pi"
"India"	2016	"8"	36	15	-4.46103336574799	8.15653885165202e-06	0	3.05264074272164e-06
"India"	2016	"9"	36	15	-4.46149018216993	8.13916758689281e-06	0	2.19858599079202e-06
"Bangladesh"	2017	"0"	504	15	-4.45795063498324	8.27469511917838e-06	0	2.5322435233127e-06
"Bangladesh"	2017	"1"	504	15	-4.45775577665218	8.28221845129981e-06	0	8.59578155530692e-06
"Bangladesh"	2017	"2"	504	15	-4.43545550287942	9.18778090096508e-06	0	2.52680447134913e-06
"Bangladesh"	2017	"3"	504	15	-4.44295176278881	8.87330646911939e-06	0	2.83618443218365e-06
"Bangladesh"	2017	"4"	504	15	-4.44106466778485	8.95148867724068e-06	0	1.94108064824613e-06
"Bangladesh"	2017	"5"	504	15	-4.43948420257197	9.01747330918771e-06	0	2.87931899070728e-06
"Bangladesh"	2017	"6"	504	15	-4.45406622673617	8.42590913351135e-06	0	2.61466982869698e-06
"Bangladesh"	2017	"7"	504	15	-4.43629531788717	9.15202730731797e-06	0	2.49491560049078e-06
"Bangladesh"	2017	"8"	504	15	-4.4476969355875	8.67958713692089e-06	0	1.45325362017037e-06
"Bangladesh"	2017	"9"	504	15	-4.44137318577959	8.93866194570807e-06	0	2.46646126525352e-06
"India"	2017	"0"	83	15	-4.44873480865381	8.63775849507554e-06	0	5.54548582050084e-06
"India"	2017	"1"	83	15	-4.44408841235764	8.82653049065404e-06	0	7.36884903418936e-06
"India"	2017	"2"	83	15	-4.4144058632361	1.01287778182754e-05	0	4.43582747503662e-06
"India"	2017	"3"	83	15	-4.44414444594815	8.82423067296932e-06	0	9.03075699547333e-06
"India"	2017	"4"	83	15	-4.44528120300947	8.77769758193412e-06	0	7.8460172853928e-06
"India"	2017	"5"	83	15	-4.44821182064067	8.6588119624887e-06	0	6.58982809606011e-06
"India"	2017	"6"	83	15	-4.44903762872968	8.62559050761001e-06	0	5.19349548433637e-06
"India"	2017	"7"	83	15	-4.43794814112713	9.08204925941201e-06	0	6.4490120219925e-06
"India"	2017	"8"	83	15	-4.44544825463087	8.77087912604575e-06	0	4.08321489007788e-06
"India"	2017	"9"	83	15	-4.44717278391363	8.70078513658645e-06	0	9.32643604978414e-06
"Bangladesh"	2018	"0"	426	15	-4.44523239303693	8.77969078828829e-06	0	2.15977010282762e-06
"Bangladesh"	2018	"1"	426	15	-4.44293740327258	8.87389891160385e-06	0	1.59733515105843e-05
"Bangladesh"	2018	"2"	426	15	-4.42880121502676	9.47583092050972e-06	0	1.75909248080722e-05
"Bangladesh"	2018	"3"	426	15	-4.45120780201708	8.53886623334243e-06	0	1.75050910742315e-06
"Bangladesh"	2018	"4"	426	15	-4.44207384110252	8.90959718415439e-06	0	1.66120349864608e-05
"Bangladesh"	2018	"5"	426	15	-4.43012749382913	9.41773935599046e-06	0	1.65692792697991e-05
"Bangladesh"	2018	"6"	426	15	-4.42940212301039	9.44946861346242e-06	0	1.70397103249245e-05
"Bangladesh"	2018	"7"	426	15	-4.4461058892293	8.74408596062529e-06	0	1.35619240910912e-05
"Bangladesh"	2018	"8"	426	15	-4.45100156592221	8.54707185190337e-06	0	1.53183720426163e-05
"Bangladesh"	2018	"9"	426	15	-4.44650805721481	8.72773950522902e-06	0	1.71681732837664e-05
"Bangladesh"	2019	"0"	67	15	-4.44389676730304	8.83440061508404e-06	0	1.25120483449908e-06
"Bangladesh"	2019	"1"	67	15	-4.44799945144766	8.6673751142897e-06	0	1.09766584787655e-06
"Bangladesh"	2019	"2"	67	15	-4.44535983507775	8.77448746847394e-06	0	1.10324083830487e-06
"Bangladesh"	2019	"3"	67	15	-4.44244375961933	8.89428857798466e-06	0	1.34251442333422e-06
"Bangladesh"	2019	"4"	67	15	-4.44684098082372	8.71422964325955e-06	0	1.23178245079542e-06
"Bangladesh"	2019	"5"	67	15	-4.44517625520098	8.78198377041694e-06	0	1.35884112749696e-06
"Bangladesh"	2019	"6"	67	15	-4.43160783762256	9.35330151041525e-06	0	1.73264575604833e-06
"Bangladesh"	2019	"7"	67	15	-4.44160352832391	8.92909683593903e-06	0	1.40420961493147e-06
"Bangladesh"	2019	"8"	67	15	-4.43937034574251	9.02224475064914e-06	0	1.76024798960427e-06
"Bangladesh"	2019	"9"	67	15	-4.4448023242558	8.79727180217924e-06	0	1.30886741496627e-06
"India"	2019	"0"	38	15	-4.45301850051887	8.4671455838914e-06	0	2.29216460307706e-06
"India"	2019	"1"	38	15	-4.43570973768057	9.17694325684883e-06	0	3.68583499803095e-06
"India"	2019	"2"	38	15	-4.42338056358091	9.71683592202855e-06	0	2.77027687515158e-06
"India"	2019	"3"	38	15	-4.4128918988451	1.01998932519077e-05	0	3.57593660542509e-06
"India"	2019	"4"	38	15	-4.41688128709509	1.00135188523501e-05	0	4.21874284048248e-06
"India"	2019	"5"	38	15	-4.42515496809526	9.63730754578378e-06	0	3.65416098372063e-06
"India"	2019	"6"	38	15	-4.42480383914718	9.65299554737008e-06	0	2.84377637649843e-06
"India"	2019	"7"	38	15	-4.41755551089906	9.98234383045471e-06	0	3.34126139056129e-06
"India"	2019	"8"	38	15	-4.40919950944435	1.03753410182508e-05	0	4.14659941223905e-06
"India"	2019	"9"	38	15	-4.40712576635369	1.04751370896334e-05	0	3.7408195374762e-06
"India"	2021	"0"	89	15	-4.44595700998883	8.75014469923898e-06	0	8.80107276275905e-07
"India"	2021	"1"	89	15	-4.4443276178719	8.81671664112793e-06	0	1.0428030784218e-06
"India"	2021	"2"	89	15	-4.43854301313837	9.05698861720762e-06	0	1.05943435262025e-06
"India"	2021	"3"	89	15	-4.45134624224253	8.53336226678397e-06	0	9.21453618213285e-07
"India"	2021	"4"	89	15	-4.45013517918057	8.58162561590665e-06	0	9.30974234279511e-07
"India"	2021	"5"	89	15	-4.41795076136562	9.96411121009045e-06	0	2.69831892531237e-06
"India"	2021	"6"	89	15	-4.411907845803	1.02463726031688e-05	0	3.16284556913994e-06
"India"	2021	"7"	89	15	-4.41770685014792	9.97535889802921e-06	0	2.75499858830833e-06
"India"	2021	"8"	89	15	-4.44831621298076	8.65460561851663e-06	0	7.12893801345673e-07
"India"	2021	"9"	89	15	-4.44657066644997	8.72519732880232e-06	0	8.69586319834117e-07
"Bangladesh"	2022	"0"	68	15	-4.41173699454887	1.02544629268012e-05	0	5.28726569831951e-06
"Bangladesh"	2022	"1"	68	15	-4.40482002362033	1.05871739088157e-05	0	6.24408689215226e-06
"Bangladesh"	2022	"2"	68	15	-4.41916858060802	9.90813385027508e-06	0	5.33476933698718e-06
"Bangladesh"	2022	"3"	68	15	-4.41795394922779	9.96396428568228e-06	0	4.15274472496497e-06
"Bangladesh"	2022	"4"	68	15	-4.41995446638349	9.8721700159541e-06	0	4.72097611197152e-06
"Bangladesh"	2022	"5"	68	15	-4.42586871402103	9.60549331031369e-06	0	3.81177755975194e-06
"Bangladesh"	2022	"6"	68	15	-4.40535838988619	1.05609125710947e-05	0	6.04423827585329e-06
"Bangladesh"	2022	"7"	68	15	-4.42095326046089	9.82664294357593e-06	0	3.8194701014084e-06
"Bangladesh"	2022	"8"	68	15	-4.4126826073954	1.02097617341434e-05	0	3.8418986663209e-06
"Bangladesh"	2022	"9"	68	15	-4.42255645388589	9.75398514604425e-06	0	4.55611098533834e-06
"Bangladesh"	2023	"0"	17	15	-4.42799242766668	9.51142400166899e-06	0	1.39835964834726e-06
"Bangladesh"	2023	"1"	17	15	-4.42517029821218	9.63662317054598e-06	0	1.67148385135831e-06
"Bangladesh"	2023	"2"	17	15	-4.41141042331932	1.02699440403396e-05	0	1.82630548155214e-06
"Bangladesh"	2023	"3"	17	15	-4.41085651592735	1.02962530756772e-05	0	1.63177770810152e-06
"Bangladesh"	2023	"4"	17	15	-4.40609936480654	1.05248697518103e-05	0	1.60749626812901e-06
"Bangladesh"	2023	"5"	17	15	-4.42067120009692	9.83947946962549e-06	0	1.88116573446354e-06
"Bangladesh"	2023	"6"	17	15	-4.41032016969613	1.03217893327669e-05	0	1.62335064732146e-06
"Bangladesh"	2023	"7"	17	15	-4.42365760236803	9.70437794716544e-06	0	1.363808839461e-06
"Bangladesh"	2023	"8"	17	15	-4.40660625763403	1.05002809489598e-05	0	1.82252358195267e-06
"Bangladesh"	2023	"9"	17	15	-4.41458681779758	1.01203095931398e-05	0	1.88681129050768e-06
"India"	2023	"0"	46	15	-4.44232591303364	8.89916277841867e-06	0	1.06339064301598e-06
"India"	2023	"1"	46	15	-4.44850107129195	8.64716180061846e-06	0	1.83579343996425e-06
"India"	2023	"2"	46	15	-4.45517807572159	8.38235888964599e-06	0	9.99841650078669e-07
"India"	2023	"3"	46	15	-4.45514433917078	8.38367715280088e-06	0	9.49562607723817e-07
"India"	2023	"4"	46	15	-4.44860804416189	8.64285704504413e-06	0	1.90927695145535e-06
"India"	2023	"5"	46	15	-4.45563923202446	8.36435895739243e-06	0	5.75705770066437e-07
"India"	2023	"6"	46	15	-4.44064279010043	8.9690568442005e-06	0	1.41720984360121e-06
"India"	2023	"7"	46	15	-4.45200221878889	8.50732867821807e-06	0	9.3063949934044e-07
"India"	2023	"8"	46	15	-4.45296398190473	8.46929660060139e-06	0	1.18538785953247e-06
"India"	2023	"9"	46	15	-4.45418552732075	8.42122588730879e-06	0	1.03249625301769e-06
